Proteome Id	Organism Id
UP000192320	1118379
UP000509406	111844
UP000509660	111844
UP000254440	1118451
UP000321717	1118451
UP000009399	1118964
UP000050982	1119533
UP000544110	1119534
UP000646844	111955
UP000198501	112002
UP000254939	1120045
UP000326881	1120045
UP000035840	1120623
UP000050670	1120658
UP000179722	1120679
UP000034908	1120688
UP000308897	1120689
UP000029625	1120705
UP000198838	1120918
UP000321635	1120919
UP000199208	1120920
UP000032668	1120923
UP000018460	1120925
UP000013117	1120926
UP000016201	1120927
UP000017404	1120928
UP000023781	1120929
UP000274601	1120940
UP000199347	1120955
UP000236736	1120964
UP000184251	1120975
UP000198636	1120976
UP000219669	1120981
UP000199266	1120987
UP000243547	1120989
UP000243819	1120990
UP000184032	1120995
UP000184038	1120996
UP000191240	1120997
UP000192761	1121001
UP000242763	1121003
UP000029391	1121013
UP000029085	1121014
UP000029385	1121015
UP000278327	1121021
UP000017837	1121022
UP000184128	1121025
UP000248259	1121029
UP000184029	1121088
UP000027601	1121097
UP000017831	1121098
UP000018842	1121100
UP000199531	1121117
UP000295985	1121120
UP000184278	1121131
UP000184097	1121132
UP000487350	1121255
UP000184088	1121256
UP000184423	1121262
UP000183967	1121264
UP000184082	1121266
UP000192902	1121267
UP000189933	1121270
UP000186513	1121279
UP000187261	1121284
UP000175744	1121290
UP000192468	1121291
UP000239863	1121295
UP000184080	1121298
UP000184465	1121301
UP000184310	1121302
UP000075374	1121305
UP000184526	1121306
UP000036756	1121307
UP000184447	1121316
UP000037043	1121318
UP000184241	1121320
UP000243255	1121321
UP000184386	1121322
UP000183975	1121323
UP000027946	1121324
UP000199068	1121325
UP000076603	1121326
UP000092605	1121328
UP000183952	1121331
UP000011220	1121335
UP000092971	1121336
UP000248132	1121337
UP000075531	1121338
UP000191448	1121339
UP000239614	1121340
UP000184612	1121345
UP001056819	1121352
UP000011760	1121353
UP000198929	1121357
UP000011723	1121362
UP000675920	1121388
UP000241639	1121389
UP000192783	1121390
UP000184076	1121391
UP000183994	1121393
UP000184010	1121395
UP000561066	112140
UP000192418	1121400
UP000014977	1121405
UP000184139	1121409
UP000184603	1121416
UP000198656	1121419
UP000183954	1121420
UP000183997	1121421
UP000199337	1121424
UP000184196	1121425
UP000199584	1121426
UP000009315	1121428
UP000184148	1121429
UP000323166	1121431
UP000184529	1121432
UP000014975	1121439
UP000189733	1121442
UP000016587	1121448
UP000190027	1121449
UP000010808	1121451
UP000186469	1121455
UP000184694	1121457
